datetime,filename,node,log
2016-11-01 12:31:45.611000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Tue Nov  1 12:31:45.611 2016: [E] DA DA1 of RG rg_gssio6-syb-hs unable to complete rebuild: Insufficient spare space makes vdisks less redundant.
"
2016-11-01 12:31:45.617000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Tue Nov  1 12:31:45.617 2016: [E] Rebuild failed for RG rg_gssio6-syb-hs DA DA1.  Remaining redundancy 1.
"
2016-11-01 12:32:40.525000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Tue Nov  1 12:32:40.525 2016: [E] DA DA1 of RG rg_gssio6-syb-hs unable to complete rebalance: Insufficient spare space means vdisks are less redundant.
"
2016-11-01 13:21:20.798000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Tue Nov  1 13:21:20.798 2016: [E] Command: err 22: tslsrecoverygroupevents --recovery-group rg_gssio5-syb-hs
"
2016-11-02 22:17:40.208000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Wed Nov  2 22:17:40.208 2016: [E] Command: err 22: tslsrecoverygroupevents --recovery-group rg_gssio5-syb-hs
"
2016-11-02 22:54:41.656000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Wed Nov  2 22:54:41.656 2016: [E] tslsenclslot: Failed to set up SES control of enclosure side NetApp midplane SV52122945 ESM B, using formerly working device special file image for it.  Failed to create SasDevMap object.  Failed to load data from sysfs.  Failed to load information on Expander 'expander-3%3A7'.  Expander 'expander-3%3A7' contains nonexistent port 'port-3%3A7%3A4'.  Proceeding without control of this enclosure side
"
2016-11-02 23:05:57.868000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Wed Nov  2 23:05:57.868 2016: [E] tslsenclslot: Failed to set up SES control of enclosure side NetApp midplane SV54140864 ESM B, using formerly working device special file image for it.  Failed to create SasDevMap object.  Failed to load data from sysfs.  Failed to load information on Expander 'expander-3%3A7'.  Expander 'expander-3%3A7' contains nonexistent port 'port-3%3A7%3A8'.  Proceeding without control of this enclosure side
"
2016-11-03 11:08:52.064000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Thu Nov  3 11:08:52.064 2016: [E] Command: err 22: tslsrecoverygroupevents --recovery-group rg_gssio5-syb-hs
"
2016-11-05 11:19:12.458000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:19:12.458 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 10985856656 length 448.
"
2016-11-05 11:21:13.578000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.578 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 5029321424 length 448.
"
2016-11-05 11:21:13.678000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.678 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on write: sector 6106491184 length 4112.
"
2016-11-05 11:21:13.679000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.679 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 765640592 length 128.
"
2016-11-05 11:21:13.698000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.698 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 770119856 length 896.
"
2016-11-05 11:21:13.699000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.699 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 770121584 length 960.
"
2016-11-05 11:21:13.798000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.798 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 5824155104 length 1088.
"
2016-11-05 11:21:13.838000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.838 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on write: sector 7421939712 length 4096.
"
2016-11-05 11:21:13.858000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:13.858 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 2010316576 length 832.
"
2016-11-05 11:21:14.018000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.018 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 4548907696 length 192.
"
2016-11-05 11:21:14.038000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.038 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 444077984 length 128.
"
2016-11-05 11:21:14.039000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.039 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 444079072 length 64.
"
2016-11-05 11:21:14.040000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.040 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 444079840 length 2256.
"
2016-11-05 11:21:14.098000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.098 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 673832560 length 384.
"
2016-11-05 11:21:14.099000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.099 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 9626359296 length 80.
"
2016-11-05 11:21:14.178000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.178 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 2799513104 length 1024.
"
2016-11-05 11:21:14.218000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.218 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on write: sector 7421943808 length 4096.
"
2016-11-05 11:21:14.338000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.338 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 11345353760 length 768.
"
2016-11-05 11:21:14.339000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.339 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 11345354720 length 1088.
"
2016-11-05 11:21:14.340000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.340 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 11345356960 length 912.
"
2016-11-05 11:21:14.458000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.458 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 361638864 length 448.
"
2016-11-05 11:21:14.518000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.518 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 5537980544 length 128.
"
2016-11-05 11:21:14.538000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.538 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdij: I/O timeout on read: sector 4410891504 length 704.
"
2016-11-05 11:21:14.539000,mmfs.logs.gssio6-syb-hs,gssio6-syb-hs_0704175913,"Sat Nov  5 11:21:14.539 2016: [E] Pdisk e1d2s11 of RG rg_gssio6-syb-hs path /dev/sdor: I/O timeout on read: sector 4410893488 length 832.
"
